"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2021,,0,0,1,0,52,1841,FL,TAMPA,33618
2021,"+VANTAGE CORP",0,0,1,0,33,3011,MI,LIVONIA,48150
2021,"01INTERACTIVE INC",2,0,0,0,54,9852,CA,"CITY INDUSTRY",91745
2021,"02908 HOLDCO LLC",1,0,0,0,53,4909,RI,PROVIDENCE,02908
2021,"0965688 BC LTD DBA PROCOGIA",1,0,0,0,54,209,WA,BELLEVUE,98006
2021,"0965688 BC LTD DBA PROCOGIA",2,1,0,0,54,0209,WA,BELLEVUE,98006
2021,"1 800 CONTACTS INC",0,0,1,0,42,1643,UT,DRAPER,84020
2021,"1 800 FLOWERS COM INC",0,0,1,0,45,7311,NY,"CARLE PLACE",11514
2021,"1 800 FLOWERS COM INC",0,0,9,0,45,7400,NY,"CARLE PLACE",11514
2021,"1 HOTEL SOUTH BEACH INC",0,0,1,0,72,9513,FL,"MIAMI BEACH",33139
2021,"10 BITS LLC",10,1,5,0,54,5441,TX,IRVING,75063
2021,"10 ELLICOTT SQUARE COURT CORP",0,0,1,0,23,9947,NY,BUFFALO,14203
2021,"1010DATA SERVICES LLC DBA 1010DATA",0,0,2,0,54,8507,NY,"NEW YORK",10016
2021,"1010DATA SERVICES LLC DBA 1010DATA",0,0,3,0,54,8507,NY,"NEW YORK",10017
2021,"1028 MICROPATENT",0,0,1,0,99,8616,PA,PHILADELPHIA,19130
2021,"1046 TRADEMARK VISION USA LLC",0,0,1,0,99,2331,PA,PITTSBURGH,15219
2021,"108 INFO SYSTEM LLC",2,0,0,0,54,7012,VA,RESTON,20190
2021,"10BITS LLC",1,0,0,0,54,5441,TX,DALLAS,75287
2021,"10BITS LLC",1,0,0,0,54,5441,TX,FRISCO,75036
2021,"10BITS LLC",28,1,14,0,54,5441,TX,IRVING,75063
2021,"10TH LANE PARTNERS, LP",1,0,0,0,52,8972,NY,"NEW YORK",10165
2021,"10X GENOMICS INC",9,0,24,0,54,4458,CA,PLEASANTON,94588
2021,"10XTS INC",0,0,1,0,54,706,OH,EATON,45320
2021,"10XTS INC",0,0,1,0,54,0706,OH,EATON,45320
2021,"11 CAPITAL PARTNERS LP",0,0,1,0,52,7163,NY,"NEW YORK",10017
2021,"11 HEALTH AND TECHNOLOGIES INC",1,0,0,0,42,7954,CA,IRVINE,92618
2021,"11 HEALTH AND TECHNOLOGIES INC",0,0,1,0,33,7954,CA,IRVINE,92618
2021,"110 HOLDINGS LLC",0,0,1,0,54,6516,WA,BELLEVUE,98005
2021,"111 INDUSTRIES INC",0,0,1,0,33,4459,MI,TROY,48098
2021,"12 15 MOLECULAR DIAGNOSTICS INC",1,0,0,0,99,3350,CT,FAIRFIELD,06825
2021,"12 WEST CAPITAL MANAGEMENT LP",0,0,1,0,52,6594,NY,"NEW YORK",10016
2021,"1211 WPR MEDICAL SERVICES P C",0,0,1,0,62,9346,NY,BRONX,10472
2021,"1218 HR SOLUTIONS LLC",0,0,1,0,54,0001,TX,DALLAS,75204
2021,"1218 HR SOLUTIONS LLC",0,0,1,0,54,1,TX,DALLAS,75204
2021,"1265 FITNESS LLC DBA ANYTIME FITNE",0,1,0,0,71,7828,VA,"VIRGINIA BCH",23464
2021,"128 TECHNOLOGY INC",0,0,1,0,54,0439,MA,BURLINGTON,01803
2021,"128 TECHNOLOGY INC",0,0,1,0,54,439,MA,BURLINGTON,1803
2021,"12TH WONDER LLC",0,1,1,0,54,2548,CA,PLEASANTON,94588
2021,"14 STREET MEDICAL PC",1,0,0,0,62,8803,NY,"NEW YORK",10003
2021,"14W ADMINISTRATIVE SVCS LLC",1,0,3,0,51,5681,MD,BALTIMORE,21201
2021,"153 LLC DBA SU53",1,0,0,0,54,6839,DE,WILMINGTON,19803
2021,"159 HUNTINGTON HOLDINGS INC",1,0,0,0,72,4252,NY,"NEW YORK",10002
2021,"1661 INC D/B/A GOAT",2,0,4,0,45,1406,CA,"LOS ANGELES",90018
2021,"1661 INC DBA GOAT",1,0,1,0,45,1406,CA,"LOS ANGELES",90018
2021,"17CAPITAL AMERICAS INC",0,0,1,0,52,3318,NY,"NEW YORK",10171
2021,"180LA LLC DBA 180NY",0,0,1,0,54,2098,NY,"NEW YORK",10014
2021,"1855 INC",1,0,0,0,72,2103,MA,BOSTON,02116
2021,"1855 INC",1,0,0,0,72,2103,MA,BOSTON,2116
2021,"1BYONE PRODUCTS INC",0,1,0,0,42,4817,CA,ONTARIO,91761
2021,"1GLOBE HEALTH INSTITUTE LLC",0,0,1,0,99,1240,MA,NORWOOD,02062
2021,"1HEALTH IO INC",0,0,1,0,51,4272,CA,"SAN FRANCISCO",94111
2021,"1LIFE HEALTHCARE INC",1,0,0,0,62,7204,CA,"SAN FRANCISCO",94111
2021,"1MPACT FIRST LLC",1,0,0,0,54,7606,SC,"NORTH AUGUSTA",29860
2021,"1NTEGER LLC",1,0,0,0,99,6378,CA,"SANTA MONICA",90403
2021,"1POINT3ACRES, LLC",1,0,0,0,51,0301,WA,BELLEVUE,98005
2021,"1SHARPE CAPITAL LLC",0,0,1,0,52,2436,CA,OAKLAND,94611
2021,"1ST GLOBAL GRAPHICS INC",1,0,0,0,32,5861,CA,IRWINDALE,91706
2021,"1ST GLOBAL GRAPHICS INC",1,0,0,0,32,5861,CA,IRWINDALE,91706
2021,"1ST RANKING TECHNOLOGIES",4,0,1,0,54,3403,TX,LEWISVILLE,75067
2021,"1ST RELIANT HOME LOANS INC",2,0,0,0,52,5285,CA,TUSTIN,92780
2021,"1ST STREET FOUNDATION INC",1,0,0,0,81,8701,NY,BROOKLYN,11201
2021,"1STDIBS COM INC",0,0,1,0,99,9618,NY,"NEW YORK",10003
2021,"1TICKET.COM LLC",0,0,1,0,54,534,VA,ARLINGTON,22206
2021,"1TICKET.COM LLC",0,0,1,0,54,0534,VA,ARLINGTON,22206
2021,"1TOUCH IO INC",0,0,1,0,51,9234,CT,STAMFORD,06902
2021,"1TOUCH IO INC",0,0,1,0,51,9234,CT,STAMFORD,6902
2021,"1WAY SOLUTIONS INC",0,0,1,0,54,3700,GA,MARIETTA,30067
2021,"1WAY SOLUTIONS INC",0,0,1,0,54,3700,GA,MARIETTA,30067
2021,"1WORLDSYNC INC",0,0,3,0,54,4878,IL,CHICAGO,60606
2021,"2 SAAB CONSTRUCTION INC",1,0,0,0,23,1256,NY,BROOKLYN,11235
2021,"2 VILLAS LLC",1,0,0,0,54,2560,FL,MIAMI,33131
2021,"2 X 4 INC",1,0,0,0,54,7745,NY,"NEW YORK",10014
2021,"200 OK LLC PROFITWELL",0,0,1,0,54,1887,MA,BOSTON,2111
2021,"2018 PROPERTY MANAGEMENT CORP",0,1,0,0,53,7400,CA,IRVINE,92620
