"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2023,,1,0,0,0,51,8070,DE,WILMINGTON,19801
2023,"0965688 BC LTD DBA PROCOGIA",0,0,1,0,51,0209,WA,SEATTLE,98101
2023,"1 800 CONTACTS INC",0,0,1,0,42,1643,,,
2023,"1 800 CONTACTS INC",0,0,1,0,42,1643,UT,DRAPER,84020
2023,"1 800 FLOWERS COM INC",0,0,2,0,45,7311,NY,JERICHO,11753
2023,"1 BETHESDA DRIVE OPERATING COMPANY LLC DBA ELDERWOOD AT HORNELL",0,0,1,0,62,5614,NY,HORNELL,14843
2023,"101 SMOKE SHOP 3 LLC",1,0,0,0,45,3465,FL,GAINESVILLE,32606
2023,"1010DATA SERVICES LLC DBA 1010DATA",0,0,2,0,54,8507,NY,"NEW YORK",10016
2023,"1028 MICROPATENT",0,0,1,0,51,8616,AZ,CHANDLER,85226
2023,"108 INFO SYSTEM LLC",0,0,1,0,54,7012,VA,RESTON,20190
2023,"10BITS LLC",1,0,9,0,54,5441,TX,IRVING,75063
2023,"10X GENOMICS INC",0,0,4,1,54,4458,CA,PLEASANTON,94588
2023,"10X GENOMICS INC",0,0,1,0,54,4458,CA,PLEASANTON,94588
2023,"10X HEALTH VENTURES",0,0,0,1,52,3927,WA,VANCOUVER,98684
2023,"110 HOLDINGS DBA AS LAUNCH CONSULTING",1,0,1,0,54,9516,WA,BELLEVUE,98005
2023,"1211 WPR MEDICAL SERVICES PC",0,0,1,0,62,9346,NY,BRONX,10472
2023,"12TH WONDER LLC",0,0,3,0,54,2548,CA,PLEASANTON,94588
2023,"13 RATTLES INC",0,0,1,0,42,0721,NY,"NEW YORK",10013
2023,"14 WEST ADMINISTRATIVE SERVICES LLC",0,0,1,1,51,5681,MD,BALTIMORE,21201
2023,"15FIVE INC",0,0,1,0,54,2755,NC,RALEIGH,27609
2023,"161 DEV INC",2,0,0,0,54,0309,NJ,BRIDGEWATER,08807
2023,"161 ST PHARMA INC DBA 161 ST PHARMACY SURGICAL SUPPLIES",0,0,1,0,44,0125,NY,BRONX,10451
2023,"1661 INC D B A GOAT",0,0,1,0,45,1406,,,
2023,"1661 INC D B A GOAT",0,0,5,0,45,1406,CA,"LOS ANGELES",90018
2023,"168 TRADING US FUND LP",0,0,1,0,52,3776,DE,WILMINGTON,19801
2023,"18 MAIN MANAGEMENT LLC",0,0,1,0,52,3834,NY,"NEW YORK",10022
2023,"19 VARNUM STREET OPERATING COMPANY LLC D/B/A CAREONE AT LOWELL",0,0,1,0,62,1991,MA,LOWELL,01850
